"A 행정구역별",H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2
"A 행정구역별",T1 15세이상인구 (천명),T2 경제활동인구 (천명),T3 취업자 (천명),T4 실업자 (천명),T5 비경제활동인구 (천명),T6 경제활동참가율 (％),T7 고용률 (%),T11 15~64세 고용률 (%),T8 실업률 (％)
"3338 단양군",24,16,16,0,8,67.4,66.7,74.2,1.0
"3339 증평군",32,22,21,1,11,66.9,65.4,70.1,2.3
"3401 천안시",603,393,381,12,211,65.1,63.2,68.6,3.0
"3402 공주시",97,62,60,2,35,64.1,61.7,66.0,3.7
"3403 보령시",86,56,55,1,30,65.2,64.2,72.5,1.4
"3404 아산시",328,222,217,5,107,67.5,66.0,70.6,2.2
"3405 서산시",154,106,105,1,48,68.9,68.0,72.4,1.2
"3406 논산시",102,68,67,1,34,66.3,65.3,70.4,1.5
"3407 계룡시",34,21,20,0,13,61.0,60.0,64.2,1.6
"3408 당진시",151,109,107,2,42,72.2,70.9,73.2,1.8
"3431 금산군",49,32,31,0,18,64.0,63.4,67.6,0.9
"3433 부여군",55,36,35,0,20,64.4,63.8,71.5,0.8
"3434 서천군",45,30,30,0,15,67.4,66.8,72.9,0.9
"3435 청양군",28,20,20,0,8,72.8,72.6,77.1,0.3
"3436 홍성군",90,62,60,2,28,68.6,66.9,70.3,2.4
"3437 예산군",71,52,51,1,19,73.2,72.1,77.1,1.4
"3438 태안군",54,40,40,0,14,74.4,73.6,77.1,1.0
"3501 전주시",570,358,349,9,212,62.8,61.3,67.8,2.5
"3502 군산시",232,137,135,2,95,58.9,58.1,63.4,1.4
"3503 익산시",243,151,148,3,92,62.0,60.9,65.2,1.7
"3504 정읍시",90,61,60,1,29,68.0,66.7,72.0,2.0
"3505 남원시",66,46,45,1,20,70.0,68.9,74.6,1.6
"3506 김제시",71,50,49,1,21,70.2,68.7,72.3,2.1
"3531 완주군",92,61,58,2,31,66.3,63.7,66.3,3.8
"3532 진안군",20,15,15,0,5,75.4,75.0,79.2,0.6
"3533 무주군",20,15,15,0,5,75.1,74.8,76.8,0.4
"3534 장수군",18,14,14,0,4,79.1,78.6,78.0,0.6
"3535 임실군",21,15,15,0,6,72.2,71.6,77.7,0.8
"3536 순창군",22,16,16,0,6,72.1,71.3,70.8,1.1
"3537 고창군",45,32,32,0,13,70.9,70.8,77.9,0.2
"3538 부안군",41,30,30,0,11,74.0,73.9,78.8,0.1
"3601 목포시",189,116,114,2,73,61.5,60.2,67.4,2.0
"3602 여수시",228,148,145,2,80,64.7,63.8,70.4,1.4
"3603 순천시",230,149,146,3,81,64.8,63.3,69.6,2.3
"3604 나주시",100,68,67,1,32,68.3,66.9,69.3,2.1
"3606 광양시",125,88,86,2,37,70.1,68.5,72.4,2.2
"3631 담양군",38,26,26,1,12,68.5,67.0,70.4,2.1
"3632 곡성군",24,17,17,0,7,71.2,70.4,70.3,1.2
"3633 구례군",20,15,14,0,5,73.5,73.0,80.0,0.7
"3635 고흥군",52,38,38,0,14,73.8,73.3,76.5,0.8
"3636 보성군",31,24,23,0,7,76.0,75.2,80.3,1.2
"3637 화순군",52,35,34,1,17,66.8,65.8,67.2,1.5
"3638 장흥군",28,21,21,0,7,73.7,73.4,79.7,0.5
"3639 강진군",27,18,18,0,9,67.4,67.0,76.6,0.5
"3640 해남군",53,39,39,0,14,74.4,74.4,81.6,0.1
"3641 영암군",54,39,38,1,15,72.0,70.7,73.2,1.9
"3642 무안군",78,52,51,0,26,66.2,65.9,66.6,0.5
"3643 함평군",26,19,18,0,7,72.5,72.0,76.0,0.7
"3644 영광군",41,28,28,0,13,69.3,68.6,75.5,1.0
"3645 장성군",34,23,23,1,10,69.2,67.6,71.7,2.3
"3646 완도군",40,29,29,0,11,72.8,72.7,80.1,0.1
"3647 진도군",25,19,19,0,5,78.0,77.9,79.7,0.1
"3648 신안군",29,23,23,0,6,79.2,79.0,86.4,0.3
"3701 포항시",428,265,257,8,164,61.8,60.0,68.0,2.9
"3702 경주시",228,145,141,4,84,63.3,61.8,68.6,2.4
"3703 김천시",121,80,79,1,41,66.2,65.1,70.0,1.6
"3704 안동시",138,89,87,2,50,64.1,62.6,68.3,2.4
"3705 구미시",352,226,215,10,126,64.1,61.2,64.9,4.5
"3706 영주시",91,57,56,1,35,62.1,61.4,68.0,1.1
"3707 영천시",90,62,61,1,28,68.8,67.9,72.0,1.3
"3708 상주시",84,57,56,1,27,67.6,66.7,73.6,1.4
